Date,Value,Month,Year
1915-01-01,19.25,1,1915
1915-02-01,19.25,2,1915
1915-03-01,19.25,3,1915
1915-04-01,19.25,4,1915
1915-05-01,19.25,5,1915
1915-06-01,19.25,6,1915
1915-07-01,19.25,7,1915
1915-08-01,19.25,8,1915
1915-09-01,19.25,9,1915
1915-10-01,19.25,10,1915
1915-11-01,19.25,11,1915
1915-12-01,19.25,12,1915
1916-01-01,19.47,1,1916
1916-02-01,19.47,2,1916
1916-03-01,19.47,3,1916
1916-04-01,19.47,4,1916
1916-05-01,19.47,5,1916
1916-06-01,19.47,6,1916
1916-07-01,19.47,7,1916
1916-08-01,19.47,8,1916
1916-09-01,19.47,9,1916
1916-10-01,19.47,10,1916
1916-11-01,19.47,11,1916
1916-12-01,19.47,12,1916
1917-01-01,19.66,1,1917
1917-02-01,19.66,2,1917
1917-03-01,19.66,3,1917
1917-04-01,19.66,4,1917
1917-05-01,19.66,5,1917
1917-06-01,19.66,6,1917
1917-07-01,19.66,7,1917
1917-08-01,19.66,8,1917
1917-09-01,19.66,9,1917
1917-10-01,19.66,10,1917
1917-11-01,19.66,11,1917
1917-12-01,19.66,12,1917
1918-01-01,19.84,1,1918
1918-02-01,19.84,2,1918
1918-03-01,19.84,3,1918
1918-04-01,19.84,4,1918
1918-05-01,19.84,5,1918
1918-06-01,19.84,6,1918
1918-07-01,19.84,7,1918
1918-08-01,19.84,8,1918
1918-09-01,19.84,9,1918
1918-10-01,19.84,10,1918
1918-11-01,19.84,11,1918
1918-12-01,19.84,12,1918
1919-01-01,20.03,1,1919
1919-02-01,20.03,2,1919
1919-03-01,20.03,3,1919
1919-04-01,20.03,4,1919
1919-05-01,20.03,5,1919
1919-06-01,20.03,6,1919
1919-07-01,20.03,7,1919
1919-08-01,20.03,8,1919
1919-09-01,20.03,9,1919
1919-10-01,20.03,10,1919
1919-11-01,20.03,11,1919
1919-12-01,20.03,12,1919
1920-01-01,20.63,1,1920
1920-02-01,20.63,2,1920
1920-03-01,20.63,3,1920
1920-04-01,20.63,4,1920
1920-05-01,20.63,5,1920
1920-06-01,20.63,6,1920
1920-07-01,20.63,7,1920
1920-08-01,20.63,8,1920
1920-09-01,20.63,9,1920
1920-10-01,20.63,10,1920
1920-11-01,20.63,11,1920
1920-12-01,20.63,12,1920
1921-01-01,20.69,1,1921
1921-02-01,20.69,2,1921
1921-03-01,20.69,3,1921
1921-04-01,20.69,4,1921
1921-05-01,20.69,5,1921
1921-06-01,20.69,6,1921
1921-07-01,20.69,7,1921
1921-08-01,20.69,8,1921
1921-09-01,20.69,9,1921
1921-10-01,20.69,10,1921
1921-11-01,20.69,11,1921
1921-12-01,20.69,12,1921
1922-01-01,20.84,1,1922
1922-02-01,20.84,2,1922
1922-03-01,20.84,3,1922
1922-04-01,20.84,4,1922
1922-05-01,20.84,5,1922
1922-06-01,20.84,6,1922
1922-07-01,20.84,7,1922
1922-08-01,20.84,8,1922
1922-09-01,20.84,9,1922
1922-10-01,20.84,10,1922
1922-11-01,20.84,11,1922
1922-12-01,20.84,12,1922
1923-01-01,20.75,1,1923
1923-02-01,20.75,2,1923
1923-03-01,20.75,3,1923
1923-04-01,20.75,4,1923
1923-05-01,20.75,5,1923
1923-06-01,20.75,6,1923
1923-07-01,20.75,7,1923
1923-08-01,20.75,8,1923
1923-09-01,20.75,9,1923
1923-10-01,20.75,10,1923
1923-11-01,20.75,11,1923
1923-12-01,20.75,12,1923
1924-01-01,20.78,1,1924
1924-02-01,20.78,2,1924
1924-03-01,20.78,3,1924
1924-04-01,20.78,4,1924
1924-05-01,20.78,5,1924
1924-06-01,20.78,6,1924
1924-07-01,20.78,7,1924
1924-08-01,20.78,8,1924
1924-09-01,20.78,9,1924
1924-10-01,20.78,10,1924
1924-11-01,20.78,11,1924
1924-12-01,20.78,12,1924
1925-01-01,20.75,1,1925
1925-02-01,20.75,2,1925
1925-03-01,20.75,3,1925
1925-04-01,20.75,4,1925
1925-05-01,20.75,5,1925
1925-06-01,20.75,6,1925
1925-07-01,20.75,7,1925
1925-08-01,20.75,8,1925
1925-09-01,20.75,9,1925
1925-10-01,20.75,10,1925
1925-11-01,20.75,11,1925
1925-12-01,20.75,12,1925
1926-01-01,20.72,1,1926
1926-02-01,20.72,2,1926
1926-03-01,20.72,3,1926
1926-04-01,20.72,4,1926
1926-05-01,20.72,5,1926
1926-06-01,20.72,6,1926
1926-07-01,20.72,7,1926
1926-08-01,20.72,8,1926
1926-09-01,20.72,9,1926
1926-10-01,20.72,10,1926
1926-11-01,20.72,11,1926
1926-12-01,20.72,12,1926
1927-01-01,20.75,1,1927
1927-02-01,20.75,2,1927
1927-03-01,20.75,3,1927
1927-04-01,20.75,4,1927
1927-05-01,20.75,5,1927
1927-06-01,20.75,6,1927
1927-07-01,20.75,7,1927
1927-08-01,20.75,8,1927
1927-09-01,20.75,9,1927
1927-10-01,20.75,10,1927
1927-11-01,20.75,11,1927
1927-12-01,20.75,12,1927
1928-01-01,20.78,1,1928
1928-02-01,20.78,2,1928
1928-03-01,20.78,3,1928
1928-04-01,20.78,4,1928
1928-05-01,20.78,5,1928
1928-06-01,20.78,6,1928
1928-07-01,20.78,7,1928
1928-08-01,20.78,8,1928
1928-09-01,20.78,9,1928
1928-10-01,20.78,10,1928
1928-11-01,20.78,11,1928
1928-12-01,20.78,12,1928
1929-01-01,20.72,1,1929
1929-02-01,20.72,2,1929
1929-03-01,20.72,3,1929
1929-04-01,20.72,4,1929
1929-05-01,20.72,5,1929
1929-06-01,20.72,6,1929
1929-07-01,20.72,7,1929
1929-08-01,20.72,8,1929
1929-09-01,20.72,9,1929
1929-10-01,20.72,10,1929
1929-11-01,20.72,11,1929
1929-12-01,20.72,12,1929
1930-01-01,20.69,1,1930
1930-02-01,20.69,2,1930
1930-03-01,20.69,3,1930
1930-04-01,20.69,4,1930
1930-05-01,20.69,5,1930
1930-06-01,20.69,6,1930
1930-07-01,20.69,7,1930
1930-08-01,20.69,8,1930
1930-09-01,20.69,9,1930
1930-10-01,20.69,10,1930
1930-11-01,20.69,11,1930
1930-12-01,20.69,12,1930
1931-01-01,22.59,1,1931
1931-02-01,22.59,2,1931
1931-03-01,22.59,3,1931
1931-04-01,22.59,4,1931
1931-05-01,22.59,5,1931
1931-06-01,22.59,6,1931
1931-07-01,22.59,7,1931
1931-08-01,22.59,8,1931
1931-09-01,22.59,9,1931
1931-10-01,22.59,10,1931
1931-11-01,22.59,11,1931
1931-12-01,22.59,12,1931
1932-01-01,20.78,1,1932
1932-02-01,20.78,2,1932
1932-03-01,20.78,3,1932
1932-04-01,20.78,4,1932
1932-05-01,20.78,5,1932
1932-06-01,20.78,6,1932
1932-07-01,20.78,7,1932
1932-08-01,20.78,8,1932
1932-09-01,20.78,9,1932
1932-10-01,20.78,10,1932
1932-11-01,20.78,11,1932
1932-12-01,20.78,12,1932
1933-01-01,26.47,1,1933
1933-02-01,26.47,2,1933
1933-03-01,26.47,3,1933
1933-04-01,26.47,4,1933
1933-05-01,26.47,5,1933
1933-06-01,26.47,6,1933
1933-07-01,26.47,7,1933
1933-08-01,26.47,8,1933
1933-09-01,26.47,9,1933
1933-10-01,26.47,10,1933
1933-11-01,26.47,11,1933
1933-12-01,26.47,12,1933
1934-01-01,35.0,1,1934
